month_key,level_1,company_id,avg_dpp_per_invoice,monthly_spend_volatility,total_dpp,total_inbound_tax_invoices,total_vat,ammend_rate,approval_rate,friction_value_ratio,hard_failure_rate,top_1_vendor_share,top_5_vendor_share,unique_vendors,vendor_concentration_index,vendor_repeat_rate,monthly_spend_volatility_z,ammend_rate_z,friction_value_ratio_z,hard_failure_rate_z,vendor_concentration_index_z,company_risk_score,company_profile,alert
2025-01-01,9,C001,76306886,0.619,467014547,202,45262516,0.123,0.833,0.043,0.098,0.319,0.348,24,2822,0.893,1.4586027537774344,2.0151121907218785,-1.3727244354574524,1.646068617605677,0.3127137345446612,0.8119545722384398,High Risk,"['Low invoice quality', 'High spend volatility', 'High amendment rate']"
2025-01-01,13,C002,39115133,0.598,577453859,110,61487697,0.16,0.782,0.058,0.05,0.578,0.772,23,4055,0.647,1.3482780719023217,2.8260016412527778,-1.2597469741824652,-0.044244301844584485,1.362449535804635,0.8465475945865369,High Risk,"['High spend volatility', 'High amendment rate', 'Vendor concentration risk']"
2025-01-01,21,C003,49753823,0.677,501994613,61,50878662,0.01,0.79,0.2,0.047,0.718,0.85,20,4498,0.725,1.763309018003936,-0.46138802306167787,-0.19022700744591842,-0.1498888593102259,1.7396052210910649,0.5402820698554358,High Risk,"['High spend volatility', 'Vendor concentration risk']"
2025-01-01,42,C005,54598631,0.254,368052864,140,36823100,0.01,0.709,0.281,0.05,0.468,0.482,47,1026,0.437,-0.4589452883376166,-0.46138802306167787,0.4198512834390132,-0.044244301844584485,-1.2163418202508882,-0.3522136300111508,Low Risk,['No alerts']
2025-01-01,50,C006,5346909,0.126,115912944,184,10744336,0.01,0.744,0.246,0.086,0.195,0.791,59,1107,0.393,-1.1314004921478262,-0.46138802306167787,0.1562372071307092,1.2234903877431111,-1.1473810741827148,-0.2720883989036797,Low Risk,['Low invoice quality']
2025-01-01,66,C007,96197894,0.455,686733718,188,66564091,0.01,0.848,0.142,0.077,0.479,0.871,93,1256,0.476,0.5970195238956033,-0.46138802306167787,-0.6270731910425362,0.9065567153461873,-1.020527356106692,-0.1210824661938231,Moderate,['Low invoice quality']
2025-01-01,79,C008,98250546,0.207,514377353,96,53875745,0.01,0.881,0.109,0.056,0.029,0.334,94,1586,0.811,-0.705862433486678,-0.46138802306167787,-0.8756236058475082,0.1670448130866981,-0.7395761684215411,-0.5230810835461414,Low Risk,['No alerts']
2025-01-01,86,C009,37154203,0.573,402304100,64,36450140,0.01,0.915,0.075,0.065,0.18,0.354,3,1068,0.746,1.21693916490814,-0.46138802306167787,-1.1317058514041463,0.48397848548362216,-1.1805843963636873,-0.2145521240875498,Moderate,['High spend volatility']
2025-01-01,91,C010,29681085,0.123,302055233,70,29193788,0.01,0.769,0.221,0.069,0.306,0.371,74,2557,0.995,-1.1471611609871282,-0.46138802306167787,-0.032058561660936256,0.6248378954378107,0.08710141716113082,-0.18573368662216017,Moderate,['No alerts']
2025-01-01,103,C012,30959525,0.208,174811085,143,16448940,0.139,0.851,0.011,0.079,0.251,0.775,17,1991,0.815,-0.7006088772069108,2.365767088248754,-1.6137430195107585,0.9769864203232816,-0.3947724380806738,0.1267258347547385,Moderate,"['Low invoice quality', 'High amendment rate']"
2025-01-01,123,C014,8772655,0.539,276840007,60,28350059,0.01,0.573,0.417,0.0,0.071,0.89,10,2463,0.92,1.0383182513960536,-0.46138802306167787,1.4441802656655645,-1.80498692627194,0.007072897032633234,0.044639292952126694,Moderate,"['High spend volatility', 'High friction']"
2025-01-01,140,C015,46291463,0.498,591376920,94,54446512,0.01,0.584,0.406,0.018,0.066,0.395,42,1264,0.369,0.8229224439255955,-0.46138802306167787,1.3613301273972407,-1.1711195814780924,-1.0137164182234157,-0.09239429028806993,Moderate,['High friction']
2025-01-01,154,C017,45053822,0.304,899706799,219,83145053,0.01,0.838,0.152,0.083,0.787,0.841,19,3661,0.639,-0.1962674743492535,-0.46138802306167787,-0.551754883525878,1.11784583027747,1.0270108450532727,0.1870892588787867,Moderate,"['Low invoice quality', 'Vendor concentration risk']"
2025-01-01,165,C018,5987203,0.111,649675508,172,70570078,0.014,0.755,0.231,0.04,0.32,0.706,53,2095,0.928,-1.2102038363443353,-0.3737242986799591,0.043259745855722016,-0.39639282673005566,-0.3062302455980807,-0.44865829229934173,Low Risk,['High amendment rate']
2025-01-01,179,C019,63850583,0.184,782225925,94,70938886,0.01,0.699,0.291,0.022,0.665,0.878,27,4894,0.841,-0.8266942279213251,-0.46138802306167787,0.49516959095567104,-1.0302601715239037,2.0767466463132465,0.05071476295240216,Moderate,['Vendor concentration risk']
2025-01-01,191,C020,10776169,0.461,737941123,97,74437779,0.01,,0.224,0.086,0.104,0.378,75,2718,0.716,0.628540861574207,-0.46138802306167787,-0.009463069405938773,1.2234903877431111,0.22417154206206816,0.32107033978235394,High Risk,['Low invoice quality']
2025-01-01,198,C021,94650163,0.228,268311338,69,28857241,0.01,0.701,0.289,0.013,0.772,0.889,91,4575,0.76,-0.5955377516115654,-0.46138802306167787,0.4801059294523394,-1.3471938439208277,1.8051604982176002,-0.023770638184826297,Moderate,['Vendor concentration risk']
2025-01-01,222,C024,51284562,0.39,179479033,164,19545637,0.01,0.557,0.433,0.055,0.422,0.454,42,2117,0.511,0.25553836571073124,-0.46138802306167787,1.5646895576922177,0.13182996059815097,-0.2875001664190706,0.24063393890407028,Moderate,['High friction']
2025-01-01,232,C025,67239552,0.42,799262312,94,74882234,0.01,0.625,0.365,0.03,0.409,0.437,35,1181,0.528,0.41314505410374897,-0.46138802306167787,1.0525250665789418,-0.7485413516155268,-1.0843798987624083,-0.16572783055138443,Moderate,['High friction']
2025-01-01,245,C026,56979951,0.094,285180981,154,30449459,0.078,0.831,0.091,0.004,0.108,0.413,62,1899,0.857,-1.2995142931003787,1.0288952914275418,-1.011196559377493,-1.6641275163177518,-0.47309822373835225,-0.6838082602212867,Low Risk,['High amendment rate']
2025-01-01,254,C027,73860648,0.522,3905495,134,403660,0.01,0.646,0.344,0.06,0.468,0.468,86,2597,0.829,0.94900779464001,-0.46138802306167787,0.8943566207939595,0.30790422304088644,0.12115610657751277,0.3622073443981382,High Risk,"['High spend volatility', 'High friction']"
